,timestamp,asset,volumeUSD,datetime
240,1671321600000,bnb,340114515.7397622,2022-12-18 08:00:00
247,1671321600000,shib,158706240.9025092,2022-12-18 08:00:00
242,1671321600000,doge,117213548.6663616,2022-12-18 08:00:00
251,1671321600000,xrp,99270205.03873917,2022-12-18 08:00:00
245,1671321600000,ltc,95812258.28094408,2022-12-18 08:00:00
238,1671321600000,ada,71048756.42663044,2022-12-18 08:00:00
246,1671321600000,matic,66024968.756073125,2022-12-18 08:00:00
248,1671321600000,sol,55133536.83842499,2022-12-18 08:00:00
249,1671321600000,trx,50754363.87445283,2022-12-18 08:00:00
243,1671321600000,dot,26237848.457140982,2022-12-18 08:00:00
239,1671321600000,avax,23910712.17106561,2022-12-18 08:00:00
250,1671321600000,uni,10356993.206812501,2022-12-18 08:00:00
227,1671235200000,btc,4564324945.71845,2022-12-17 08:00:00
230,1671235200000,eth,1432369832.2945023,2022-12-17 08:00:00
226,1671235200000,bnb,476029656.7379478,2022-12-17 08:00:00
228,1671235200000,doge,252040122.31833464,2022-12-17 08:00:00
231,1671235200000,ltc,217656417.68943003,2022-12-17 08:00:00
237,1671235200000,xrp,190088545.40029827,2022-12-17 08:00:00
224,1671235200000,ada,133252106.94095466,2022-12-17 08:00:00
232,1671235200000,matic,114303493.79992658,2022-12-17 08:00:00
234,1671235200000,sol,114041392.13606264,2022-12-17 08:00:00
235,1671235200000,trx,65876525.64301433,2022-12-17 08:00:00
233,1671235200000,shib,64182925.995296985,2022-12-17 08:00:00
229,1671235200000,dot,55106656.00954581,2022-12-17 08:00:00
225,1671235200000,avax,38041378.79577991,2022-12-17 08:00:00
236,1671235200000,uni,23123008.64669834,2022-12-17 08:00:00
213,1671148800000,btc,8890798666.31942,2022-12-16 08:00:00
216,1671148800000,eth,3263429594.789797,2022-12-16 08:00:00
212,1671148800000,bnb,461854535.9811921,2022-12-16 08:00:00
223,1671148800000,xrp,408326106.0949785,2022-12-16 08:00:00
214,1671148800000,doge,338823985.01033014,2022-12-16 08:00:00
217,1671148800000,ltc,237515822.93621725,2022-12-16 08:00:00
218,1671148800000,matic,189633541.56452912,2022-12-16 08:00:00
220,1671148800000,sol,187236587.60634598,2022-12-16 08:00:00
210,1671148800000,ada,165111606.9123219,2022-12-16 08:00:00
215,1671148800000,dot,93530801.95888177,2022-12-16 08:00:00
219,1671148800000,shib,83702234.02939238,2022-12-16 08:00:00
221,1671148800000,trx,68919982.36546424,2022-12-16 08:00:00
211,1671148800000,avax,59204330.83533036,2022-12-16 08:00:00
222,1671148800000,uni,32760689.16015296,2022-12-16 08:00:00
199,1671062400000,btc,7824256083.850957,2022-12-15 08:00:00
202,1671062400000,eth,2040656209.9136536,2022-12-15 08:00:00
209,1671062400000,xrp,269233593.4387723,2022-12-15 08:00:00
198,1671062400000,bnb,203996759.4351877,2022-12-15 08:00:00
200,1671062400000,doge,185920701.1163598,2022-12-15 08:00:00
206,1671062400000,sol,128277634.51222336,2022-12-15 08:00:00
203,1671062400000,ltc,126642991.00575992,2022-12-15 08:00:00
204,1671062400000,matic,108114425.08593015,2022-12-15 08:00:00
